steam_id,display_name,internal_name,version,translators,note
2927542027,Achievement Mod,TMLAchievements,1.1,ぽぷのべり,
2562968836,Advanced World Generation,AdvancedWorldGen,3.1.7.4,ぽぷのべり,
2831179995,Aimbot,Aimbot,0.3.1,ぽぷのべり,
2599842771,AlchemistNPC Lite,AlchemistNPCLite,1.9.8,hazamax405,一部未翻訳(popunoberi)
3454561776,All The Challenges,AllTC,1.0.0.1,ぽぷのべり,
2695381096,Always Show NPC Banners,NPCFlagsAlways,1.0.3,ぽぷのべり,
2563082541,Angler Shop,NoFishingQuests,3.2.0.4,まめ,
2818107739,Anime Vanity & Pets,AnimeOverhaul,3.2,ogatass,
2564872136,Antisocial,Antisocial,1.6.0.3,ぽぷのべり,
2658783282,Apacchii's Classes: Reborn,ApacchiisClassesMod2,1.5.6.3,hazamax405,設定・バフなど一部未翻訳(popunoberi) 推定バージョンを記載(eva828)
2895682737,Arbour,Arbour,1.2.2.5,ぽぷのべり,
2829105343,Archery Overhaul,bowmod,1.5.4.2,まめ,
2817496179,Atmospheric Torches,ImprovedTorches,1.4.3,ぽぷのべり,
2707400823,Auto Reforge,AutoReroll,2024.8.31,katudonsan,済
2565540604,Auto Trash,AutoTrash,0.7.2,HAKU,
2621687273,Autofish,Autofish,1.2.1,ぽぷのべり,
2838188064,Basic Automated (Vein) Mining,BAM,1.2.5,ぽぷのべり,
3010989007,Bank Buttons,BankButtons,1.3.2,まめ,
2791578194,Better Beds,BedFix,1.1,ぽぷのべり,
2816941454,Better Blending,BetterBlending,1.2.6,まめ,
3018447913,Better Boss Health Bar for 1.4.4+,BetterBossBarPlus,0.9.2.3,Hurugitune,全て翻訳済み
3158254975,Better Caves,VervCaves,1.1.7,まめ,
3436130213,Better Communication,ImprovedCommunication,1.1.4,ぽぷのべり,
2773928114,Better Extractinator,BetterExtractinator,1.2,katudonsan,
2568214360,Better Friendly NPCs,GodNPC,1.8.6,ぽぷのべり,
2903065706,Better Game UI,BetterGameUI,2.2.1,ぽぷのべり,
3082571842,Better Measurements,BetterMeasurements,1.1.0,TwelveYO21,
2634682993,Better Multiplayer,BetterMultiplayer,1.6.3,katudonsan,済
3201195744,Better Tooltips,PrettyRarities,1.4.4,ぽぷのべり,バージョン情報を更新(1.4.3→1.4.4) 翻訳内容の追加等はありません。
2562953970,Better Zoom,BetterZoom,5.2.1,ぽぷのべり,
3429640606,BetterChatBox,ChatImprover,1.7,ぽぷのべり,
3455954196,Biome Popups,BiomePopupsMod,1.4.3,Hurugitune,すべて翻訳済み
3018208290,Block's Leveling Mod,BSWLmod,1.3.2.4,hazamax405,設定など一部未翻訳(popunoberi) 推定バージョンを記載(eva828)
3398127341,Bloodshed+ || Better Blood Particles,BloodshedPlus,1.2,ぽぷのべり,
3345049977,Bonsai Pots,BonsaiPots,0.2.1,ぽぷのべり,
2669644269,Boss Checklist,BossChecklist,2.2.2,katudonsan,
2816694149,Boss Cursor,BossCursor,3.0.0,ponzu_ika,
3044249615,Calamity - Fargo's Souls DLC,FargowiltasCrossmod,1.2.0.8,ogatass,
3184307602,Calamity Clickers,CalamityClickers,1.2.0.1,ぽぷのべり(下地作成)、ogatass(意訳・修正),
2466463382,Calamity Extra Music,ClamExtraMusic,2.0.0,Hurugitune,全て翻訳済み
3449156562,Calamity Fables,CalamityFables,0.1.13,ぽぷのべり、Hurugitune(意訳・修正),仮翻訳
2824688072,Calamity Mod,CalamityMod,2.0.4.6,hazamax405（機械翻訳＋下地作成）、Hurugitune（意訳・修正）,推定バージョンを記載(eva828)
3015412343,Calamity Mod Infernum Mode,InfernumMode,2.0.1.16,Hurugitune,バフ以外はほぼ全て翻訳済み。ほとんど推敲済み。
2824688266,Calamity Mod Music,CalamityModMusic,2.0.4.3,Hurugitune,全て翻訳済み
3473002944,Calamity Mod Music (but it's lofi),InertLofi,1.1.0,Hurugitune,
2860270524,Calamity Ranger Expansion,CalamityAmmo,1.2.1.6,gaba,
3241967932,Calamity:Hunt of the Old God,CalamityHunt,1.1.5,Hurugitune,全て翻訳済み。フィードバック募集中。
2995193002,Calamity:Wrath of the Gods,NoxusBoss,1.2.20,Hurugitune,全て翻訳済み。フィードバック募集中。
2824688804,Calamity's Vanities,CalValEX,11.1,Chuzume,ほぼ翻訳完了、マップでのタイル名、Projectile名など未翻訳。
3161388997,CalamityOverhaul,CalamityOverhaul,0.6015,右折禁止,
2864849706,Camping,CampingMod,3.0.2,Hurugitune,全て翻訳済み。推敲済み。
2838015851,Catalyst Mod,CatalystMod,1.1.2.3,Hurugitune,全て翻訳済み。ほとんど推敲済み。
2687866031,Census - Town NPC Checklist,Census,0.5.2.7,まめ,
2927446524,Chad's Furni Reborn,TestChadsFurni,0.2,mori (new),すべて翻訳済み
2566083800,Chat Source,ChatSource,1.1.1.3,Hurugitune,すべて翻訳済み
2563784437,Cheat Sheet,CheatSheet,0.7.6.1,sysnote8,
3395336633,Clicker Extra API,ClickerExtraAPI,1.1,ぽぷのべり,
2793782057,Colored Damage Types,ColoredDamageTypes,1.8.5,ぽぷのべり,
3378168037,Compatibility Checker (Beta),CompatChecker,0.1.4.3,Hurugitune,すべて翻訳済み
3001692619,Concise Mods List,ConciseModList,1.4.2,ぽぷのべり,
